hz,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,Marker
34,0.0009280212885420902,-0.0012381120189455862,-0.001836915160270426,-0.00020136947115741383,-0.00542736610501957,-0.002543846947094467,-0.00010055673152480901,-0.003263034803399391,-0.004154761364602986,-0.004792497084171005,-0.0014721056064133469,-0.002665664448696397,-0.0021569171929673517,-0.001497529652563944,-0.000700386815509998,REST
35,0.0008927753620632519,-0.0012492622047825036,-0.0018496145526987822,-0.00021897911483290686,-0.005449049134964615,-0.002535633240767703,-0.00011218613323152207,-0.003281464146057298,-0.004160610641811471,-0.004825497032949993,-0.0014915284158759543,-0.0026731233600101453,-0.0021765087240841635,-0.0015105749738969394,-0.0007019100802471462,REST
36,0.0008568646756580041,-0.0012600253516785822,-0.0018619118060191743,-0.00023671042070332515,-0.0054691172571976,-0.002526847311078673,-0.00012413733014714716,-0.003298872869082408,-0.0041656529673170855,-0.004857339531596374,-0.0015105035308674635,-0.0026799703692609706,-0.0021956143187805304,-0.0015230570215124814,-0.0007034084022442596,REST
37,0.0008203057041255876,-0.0012704012484809233,-0.0018738061670627846,-0.00025453157446959224,-0.005487568260380234,-0.0025174974907803513,-0.0001363897266958001,-0.003315255113381154,-0.004169892309953122,-0.004888015452560222,-0.0015290238186173519,-0.0026862071970372775,-0.002214231577996872,-0.001534972953663121,-0.0007048943229037936,REST
38,0.0007831152908801878,-0.001280390158881479,-0.0018852973302568054,-0.00027241055322126367,-0.005504401352328757,-0.00250759239494251,-0.00014892224775463734,-0.0033306059521418297,-0.004173333072960089,-0.004917516620490573,-0.0015470828022476329,-0.0026918361633911972,-0.002232358727001686,-0.001546320736132627,-0.0007063804126914513,REST
39,0.0007453106472814258,-0.001289992823319466,-0.0018963854292104708,-0.00029031513564031395,-0.005519617165934459,-0.0024971409134023578,-0.00016171337971273826,-0.003344921400215409,-0.004175980084415185,-0.004945835827070213,-0.001564674647646669,-0.002696860174441386,-0.002249994608051426,-0.0015570991399197819,-0.0007078792708679602,REST
40,0.0007069093515743533,-0.0012992104603142154,-0.0019070710279010228,-0.0003082129502967366,-0.005533217763606928,-0.0024861522030785394,-0.0001747412093314271,-0.003358198422520217,-0.004177838587427311,-0.004972966844891153,-0.0015817941496667847,-0.002701282708417795,-0.0022671386724120095,-0.0015673077379512398,-0.0007094035251321877,REST
41,0.0006679681171632731,-0.0013080735267417163,-0.0019173334579125352,-0.00032572441525782325,-0.0055452643018737546,-0.0024746442376324534,-0.00018780352964162158,-0.0033704747727640416,-0.004178895566538359,-0.004998964300177704,-0.0015983823634142349,-0.002705068216943017,-0.002283773450061261,-0.0015769462669456191,-0.00071181175045867,REST
42,0.0006284548831568919,-0.001316558802723284,-0.0019272043889043907,-0.00034321421188036676,-0.005555710900157837,-0.002462626098143117,-0.00020108170702102157,-0.003381714200691449,-0.00417917871359898,-0.005023767423968085,-0.0016145056322324936,-0.0027082715575881353,-0.0022999277514973164,-0.0015860291280841718,-0.0007142624107581617,REST
43,0.000588388909575065,-0.0013246694013352976,-0.0019366852349650874,-0.00036065210459741833,-0.00556456473102694,-0.002450107771083692,-0.00021455333339328865,-0.003391917127399431,-0.004178694098292728,-0.005047373905855051,-0.0016301595552581623,-0.0027108970926538437,-0.0023156024698356022,-0.0015945581471692857,-0.0007167670949347928,REST
44,0.0005477897646654658,-0.0013324088695378289,-0.0019457778106659054,-0.0003780078864738032,-0.005571834277801184,-0.0024370994387626133,-0.00022819507142246125,-0.0034010848656320543,-0.004177448168224511,-0.005069782358320195,-0.0016453403192141622,-0.0027129497051048036,-0.002330799066682714,-0.0016025358821936833,-0.0007193361666227118,REST
45,0.0005066782454920744,-0.001339781209683998,-0.001954483794955831,-0.0003952518813876782,-0.005577529576438769,-0.00242361123430054,-0.0002419825208654117,-0.003409219781905051,-0.004175447570061896,-0.005090992663891596,-0.0016600437024575278,-0.0027144341531122754,-0.002345518974837056,-0.0016099651507940167,-0.0007219781926744857,REST
46,0.00046507565307674884,-0.001346790847794141,-0.0019628051308800964,-0.0004123561277543593,-0.005581662000760078,-0.002409653410976451,-0.0002558904492590097,-0.0034163251615132706,-0.004172699275187279,-0.005111005699932818,-0.0016742658290835742,-0.0027153555509162233,-0.002359764042210614,-0.001616849377119155,-0.0007247012278237695,REST
47,0.0004230034433668954,-0.001353442613307825,-0.001970744210916611,-0.0004292948641376792,-0.00558424415035338,-0.002395236416725982,-0.00026989291162316935,-0.003422405140271315,-0.004169210635547581,-0.005129823204505749,-0.0016880035222535507,-0.0027157195916518474,-0.0023735367369877,-0.0016231927502587018,-0.0007275135118345953,REST
48,0.0003804834360413801,-0.001359741736221228,-0.001978303744361429,-0.00044568615857799534,-0.005585289891651527,-0.0023803708279835144,-0.00028396325732759313,-0.0034274647358316034,-0.004164989335962279,-0.005147447852166266,-0.0017012540630320083,-0.0027155323874457167,-0.0023868399987846778,-0.001629000103523836,-0.0007304233854193581,REST
49,0.00033753791722893034,-0.0013656938403751302,-0.0019854866845892723,-0.00046146186473752435,-0.005584814368490723,-0.0023650673101500443,-0.00029807424835616274,-0.003431509859083974,-0.004160043365848573,-0.005163883288942092,-0.001714015061243631,-0.00271480038151986,-0.0023996771562712804,-0.0016342768456590428,-0.0007334392301434214,REST
50,0.0002941895519289581,-0.001371304930191089,-0.001992296264127343,-0.00047655003223901637,-0.00558283395884481,-0.0023493366259063385,-0.0003121983966523392,-0.0034345472904683573,-0.004154381025978599,-0.005179134094663895,-0.0017262845280002154,-0.0027135303900140146,-0.0024120519645984082,-0.0016390289859887083,-0.0007365695414411649,REST
